date,skill_name,region,interest
20121,sql,US,15
20128,sql,US,16
20135,sql,US,14
20142,sql,US,14
20149,sql,US,15
20156,sql,US,15
20163,sql,US,14
20170,sql,US,13
20177,sql,US,14
20184,sql,US,14
20191,sql,US,13
20198,sql,US,14
20205,sql,US,13
20212,sql,US,13
20219,sql,US,13
20226,sql,US,13
20233,sql,US,10
20240,sql,US,13
20247,sql,US,12
20254,sql,US,12
20261,sql,US,13
20268,sql,US,10
20275,sql,US,11
20282,sql,US,12
20289,sql,US,12
20296,sql,US,11
20303,sql,US,12
20310,sql,US,12
20317,sql,US,12
20324,sql,US,11
20331,sql,US,10
20338,sql,US,11
20345,sql,US,11
20352,sql,US,11
20359,sql,US,12
20366,sql,US,12
20373,sql,US,11
18546,tableau,US,1
18553,tableau,US,1
18560,tableau,US,2
18567,tableau,US,1
18574,tableau,US,1
18581,tableau,US,1
18588,tableau,US,1
18595,tableau,US,1
18602,tableau,US,1
18609,tableau,US,1
18616,tableau,US,1
18623,tableau,US,1
18630,tableau,US,1
18637,tableau,US,1
18644,tableau,US,1
18651,tableau,US,1
18658,tableau,US,1
18665,tableau,US,1
18672,tableau,US,1
18679,tableau,US,1
18686,tableau,US,1
18693,tableau,US,1
18700,tableau,US,1
18707,tableau,US,1
18714,tableau,US,1
18721,tableau,US,1
18728,tableau,US,1
18735,tableau,US,1
18742,tableau,US,1
18749,tableau,US,1
18756,tableau,US,1
18763,tableau,US,1
18770,tableau,US,1
18777,tableau,US,1
18784,tableau,US,1
18791,tableau,US,1
18798,tableau,US,1
18805,tableau,US,1
18812,tableau,US,1
18819,tableau,US,1
18826,tableau,US,1
18833,tableau,US,1
18840,tableau,US,1
18847,tableau,US,1
18854,tableau,US,1
18861,tableau,US,1
18868,tableau,US,1
18875,tableau,US,1
18882,tableau,US,1
18889,tableau,US,1
18896,tableau,US,1
18903,tableau,US,1
18910,tableau,US,1
18917,tableau,US,1
18924,tableau,US,1
18931,tableau,US,2
18938,tableau,US,1
18945,tableau,US,1
18952,tableau,US,1
18959,tableau,US,1
18966,tableau,US,1
18973,tableau,US,1
18980,tableau,US,1
18987,tableau,US,1
18994,tableau,US,1
19001,tableau,US,1
19008,tableau,US,1
19015,tableau,US,2
19022,tableau,US,1
19029,tableau,US,2
19036,tableau,US,2
19043,tableau,US,1
19050,tableau,US,2
19057,tableau,US,2
19064,tableau,US,1
19071,tableau,US,2
19078,tableau,US,2
19085,tableau,US,2
19092,tableau,US,1
19099,tableau,US,2
19106,tableau,US,2
19113,tableau,US,2
19120,tableau,US,1
19127,tableau,US,2
19134,tableau,US,1
19141,tableau,US,1
19148,tableau,US,2
19155,tableau,US,2
19162,tableau,US,1
19169,tableau,US,2
19176,tableau,US,1
19183,tableau,US,2
19190,tableau,US,2
19197,tableau,US,2
19204,tableau,US,1
19211,tableau,US,1
19218,tableau,US,2
19225,tableau,US,2
19232,tableau,US,2
19239,tableau,US,1
19246,tableau,US,2
19253,tableau,US,2
19260,tableau,US,2
19267,tableau,US,2
19274,tableau,US,2
19281,tableau,US,2
19288,tableau,US,2
19295,tableau,US,2
19302,tableau,US,1
19309,tableau,US,2
19316,tableau,US,1
19323,tableau,US,2
19330,tableau,US,1
19337,tableau,US,2
19344,tableau,US,1
19351,tableau,US,1
19358,tableau,US,1
19365,tableau,US,1
19372,tableau,US,1
19379,tableau,US,1
19386,tableau,US,2
19393,tableau,US,2
19400,tableau,US,2
19407,tableau,US,2
19414,tableau,US,2
19421,tableau,US,2
19428,tableau,US,2
19435,tableau,US,2
19442,tableau,US,2
19449,tableau,US,2
19456,tableau,US,2
19463,tableau,US,2
19470,tableau,US,1
19477,tableau,US,1
19484,tableau,US,1
19491,tableau,US,2
19498,tableau,US,1
19505,tableau,US,1
19512,tableau,US,1
19519,tableau,US,1
19526,tableau,US,1
19533,tableau,US,2
19540,tableau,US,1
19547,tableau,US,2
19554,tableau,US,1
19561,tableau,US,2
19568,tableau,US,1
19575,tableau,US,2
19582,tableau,US,1
19589,tableau,US,1
19596,tableau,US,1
19603,tableau,US,1
19610,tableau,US,1
19617,tableau,US,1
19624,tableau,US,2
19631,tableau,US,1
19638,tableau,US,2
19645,tableau,US,1
19652,tableau,US,1
19659,tableau,US,1
19666,tableau,US,1
19673,tableau,US,1
19680,tableau,US,1
19687,tableau,US,1
19694,tableau,US,1
19701,tableau,US,1
19708,tableau,US,1
19715,tableau,US,0.5
19722,tableau,US,1
19729,tableau,US,1
19736,tableau,US,1
19743,tableau,US,1
19750,tableau,US,1
19757,tableau,US,1
19764,tableau,US,1
19771,tableau,US,2
19778,tableau,US,1
19785,tableau,US,1
19792,tableau,US,1
19799,tableau,US,2
19806,tableau,US,1
19813,tableau,US,1
19820,tableau,US,1
19827,tableau,US,1
19834,tableau,US,1
19841,tableau,US,1
19848,tableau,US,1
19855,tableau,US,1
19862,tableau,US,1
19869,tableau,US,1
19876,tableau,US,1
19883,tableau,US,1
19890,tableau,US,1
19897,tableau,US,1
19904,tableau,US,1
19911,tableau,US,1
19918,tableau,US,1
19925,tableau,US,1
19932,tableau,US,1
19939,tableau,US,1
19946,tableau,US,1
19953,tableau,US,1
19960,tableau,US,1
19967,tableau,US,1
19974,tableau,US,1
19981,tableau,US,1
19988,tableau,US,1
19995,tableau,US,1
20002,tableau,US,1
20009,tableau,US,1
20016,tableau,US,1
20023,tableau,US,1
20030,tableau,US,1
20037,tableau,US,1
20044,tableau,US,1
20051,tableau,US,1
20058,tableau,US,1
20065,tableau,US,1
20072,tableau,US,1
20079,tableau,US,0.5
20086,tableau,US,0.5
